"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AQP3.2",4.78229163165417e-57,1.21749472230807,0.42,0.113,6.55843474365053e-53,"Memory CD4 T","AQP3"
"TNFRSF4",6.82858208631655e-57,0.908084259277964,0.214,0.025,9.36471747317452e-53,"Memory CD4 T","TNFRSF4"
"CD2.2",1.91149045297351e-54,1.17968522633236,0.642,0.249,2.62141800720787e-50,"Memory CD4 T","CD2"
"CD40LG.2",4.20594482172234e-46,0.900525059593896,0.289,0.064,5.76803272851002e-42,"Memory CD4 T","CD40LG"
"TRAT1.2",1.80745228281494e-43,0.832124701853484,0.398,0.122,2.47874006065241e-39,"Memory CD4 T","TRAT1"
"CRIP2",2.64581359519885e-34,0.772607080548226,0.182,0.034,3.6284687644557e-30,"Memory CD4 T","CRIP2"
"GIMAP7.1",9.97752356566196e-34,0.598384431654935,0.786,0.482,1.36831758179488e-29,"Memory CD4 T","GIMAP7"
"PRDX2.2",2.21612623959927e-33,0.645090352874202,0.54,0.235,3.03919552498644e-29,"Memory CD4 T","PRDX2"
"SPOCK2.2",4.77156562962561e-33,0.775200364726163,0.428,0.164,6.54372510446857e-29,"Memory CD4 T","SPOCK2"
"JUNB.2",6.15738746955372e-33,0.557025020693999,0.985,0.884,8.44424117574598e-29,"Memory CD4 T","JUNB"
"TRADD.1",1.12690162234223e-31,0.812228897657812,0.366,0.137,1.54543288488013e-27,"Memory CD4 T","TRADD"
"JUN.2",2.9755828746955e-31,0.570460596079337,0.923,0.699,4.0807143543574e-27,"Memory CD4 T","JUN"
"MAL.2",3.35379821184227e-31,0.763782552785787,0.3,0.096,4.59939886772048e-27,"Memory CD4 T","MAL"
"TMEM66.2",1.13712991318301e-30,0.567396802268887,0.929,0.689,1.55945996293918e-26,"Memory CD4 T","TMEM66"
"ITM2A.2",2.40131679327802e-30,0.583894249009286,0.291,0.091,3.29316585030148e-26,"Memory CD4 T","ITM2A"
"AES.2",1.58498885910023e-29,0.667156488024746,0.754,0.433,2.17365372137006e-25,"Memory CD4 T","AES"
"CD27.2",8.08834608047615e-29,0.646074239291191,0.452,0.193,1.1092357814765e-24,"Memory CD4 T","CD27"
"NOSIP.2",2.10472397545814e-28,0.600802539685457,0.675,0.375,2.88641845994329e-24,"Memory CD4 T","NOSIP"
"LCK.2",2.24122513100727e-28,0.610762478187119,0.615,0.306,3.07361614466337e-24,"Memory CD4 T","LCK"
"SUSD3.2",3.51459375437427e-28,0.794847663715327,0.304,0.106,4.81991387474887e-24,"Memory CD4 T","SUSD3"
"TTC39C.2",1.15248342660175e-27,0.621231637919862,0.296,0.099,1.58051577124164e-23,"Memory CD4 T","TTC39C"
"HINT1.2",1.10757599306442e-26,0.554196670388882,0.844,0.596,1.51892971688854e-22,"Memory CD4 T","HINT1"
"FLT3LG.2",5.01668603582382e-26,0.508672017931892,0.351,0.134,6.87988322952879e-22,"Memory CD4 T","FLT3LG"
"CD3G.2",6.41296017780353e-25,0.507074523564754,0.42,0.176,8.79473358783977e-21,"Memory CD4 T","CD3G"
"GIMAP5.2",9.56892753659358e-25,0.657466780680175,0.488,0.239,1.31228272236844e-20,"Memory CD4 T","GIMAP5"
"EVL.2",9.8347128102943e-25,0.615550332705539,0.749,0.485,1.34873251480376e-20,"Memory CD4 T","EVL"
"CCDC104",2.69788206078998e-24,0.506399575962482,0.191,0.051,3.69987545816738e-20,"Memory CD4 T","CCDC104"
"PBXIP1.1",6.37518058510554e-24,0.565773989990257,0.325,0.126,8.74292265441374e-20,"Memory CD4 T","PBXIP1"
"LEF1.2",8.31637468859994e-24,0.565753640727381,0.328,0.128,1.1405076247946e-19,"Memory CD4 T","LEF1"
"USP10",2.38078929961947e-23,0.615633075411185,0.197,0.057,3.26501444549815e-19,"Memory CD4 T","USP10"
"RGCC.2",2.67576407521194e-23,0.607047853126646,0.413,0.191,3.66954285274566e-19,"Memory CD4 T","RGCC"
"PLP2",3.04712697436934e-23,0.588213915753798,0.542,0.299,4.17882993265012e-19,"Memory CD4 T","PLP2"
"IFITM1.1",3.3034950815107e-23,0.539878985106662,0.702,0.427,4.53041315478377e-19,"Memory CD4 T","IFITM1"
