Alpha,Beta,Delta,Epsilon,EP,Ductal,Pre-endocrine
Gm20554,Wfs1,,,Gm8113,Clspn,
AW551984,Kctd12b,,,Ttyh2,Rxrg,
Pdgfrl,Cytip,,,Slc39a2,Cryab,
Gap43,Slc7a2,,,Nptx2,Mcam,
Mctp2,Efcab10,,,Nfix,Mpzl2,
Pde1a,Gm10941,,,Rab15,Kcnk5,
Prune2,Pip5k1b,,,Pkib,Aqp1,
Nqo1,Slc16a12,,,Slc16a5,Itpripl1,
Wnt4,C1qa,,,Megf11,Matn2,
Cdh2,Mpp3,,,Ncs1,Krt23,
Fam155a,Arhgap36,,,Kcnq4,Exo1,
Tmigd3,Galnt18,,,Sox11,Palmd,
Rragb,Vps8,,,Slco4a1,Acp5,
Meox1,B230217C12Rik,,,Lzts1,Apcs,
Klb,Fam159b,,,Ndc1,Hist1h1b,
G630016G05Rik,Derl3,,,Dpysl5,Cdc6,
Ndst4,Npy,,,Cd40,Esco2,
Soga3,Tmem215,,,Grin2c,Icam1,
Sorcs2,Aard,,,Bcl2,Wfdc3,
Dpp6,Slitrk6,,,Dll1,A730098A19Rik,
Syn1,Prss50,,,D930028M14Rik,Hs6st2,
Sema6d,Lmo1,,,F2r,Itgb4,
Myt1l,Pex5l,,,Zbtb18,Pole2,
Stmn3,Fkbp1b,,,Dner,Sult1c2,
Heg1,Noct,,,Pou3f1,Kif15,
,Kctd8,,,Ifitm1,Ugt2b36,
,Phactr1,,,Gm28172,Gm684,
,C2cd4a,,,Ccnjl,Rasl11a,
,Dnah9,,,Nhlh1,Acan,
,Prss53,,,Steap1,Tmem213,
,Syndig1l,,,Megf6,Ctgf,
,P2ry1,,,Tspear,Prr5l,
,Fbln2,,,Tff2,Eme1,
,Pcp4,,,Sema3g,Fam46b,
,Cntfr,,,Actn3,Klhdc7a,
,Hyou1,,,Atg4a,Slfn9,
,Crhr2,,,Nkd1,Syde1,
,Il1r1,,,Crlf1,Brca1,
,Cdkn2b,,,Shc2,Cyp4f15,
,Hs3st6,,,Vil1,Filip1l,
,Gm15706,,,A330009N23Rik,Smagp,
,Itpkb,,,Tbc1d8,Aunip,
,Nfasc,,,Tekt1,Plce1,
,Lyve1,,,Vash2,Pld2,
,Slc7a8,,,Fam83f,Gm5420,
,Gpd1,,,Sfn,Tlr3,
,Rps6ka2,,,Lgi3,Calr4,
,Muc4,,,Gm15567,Ptgs1,
,Cecr6,,,Gm8773,Padi4,
,Cdhr1,,,Insig1,Fgd3,
,Pinlyp,,,Alpl,Piezo1,
